Name,rarity,collector_number,image_url,Unique ID,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,total_count,Gravy Bones_total_count,"Scurv, Stowaway_total_count",Puffin_total_count,Marlynn_total_count,average_count_per_normalized_deck,Gravy Bones_average_count_per_normalized_deck,"Scurv, Stowaway_average_count_per_normalized_deck",Puffin_average_count_per_normalized_deck,Marlynn_average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,pick_rate,average_count_per_deck,Gravy Bones_pick_rate,Gravy Bones_average_count_per_deck,"Scurv, Stowaway_pick_rate","Scurv, Stowaway_average_count_per_deck",Puffin_pick_rate,Puffin_average_count_per_deck,Marlynn_pick_rate,Marlynn_average_count_per_deck,weighted_pick_rate
Golden Skywarden (yellow),mythic,SEA004,https://prod-content.fabrary.io/cards/SEA004.webp,cTchBtPqMqnNgDGGW89Gp,2,4,7,2,,,,"Pirate, Mechanologist, Action, Attack",Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, this gets +1{d}. If a Golden Cog is destroyed this way, create a Gold token and repeat this process.",Pirate Mechanologist Action - Attack,,,,No,,5,0,0,5,0,0.01151082957012876,0.0,0.0,0.03991138103287636,0.0,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.0757537155143048,0.013477088948787063,0.0,0.0,0.0,0.0,0.26204459205149677,0.04672897196261682,0.0,0.0,0.06551114801287419
Jolly Bludger (yellow),mythic,SEA005,https://prod-content.fabrary.io/cards/SEA005.webp,6cNLLnWnpJdfmdpQHMFMb,2,2,5,3,,,,"Pirate, Mechanologist, Action, Attack","Overpower, Steal",Thrice per Turn Instant,,,,,"""When this attacks, you may {t} a cog you control. If you do, this gets **overpower**.",,,,,,,11,0,0,11,0,0.024824527626343483,0.0,0.0,0.08607382943339657,0.0,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.16665817413147058,0.029649595687331536,0.0,0.0,0.0,0.0,0.5764981025132928,0.102803738317757,0.0,0.0,0.1441245256283232
Rust Belt,common,SEA009,https://prod-content.fabrary.io/cards/SEA009.webp,LKtdCkW87n6dJCtKqqkMw,,,,1,,,,"Mechanologist, Equipment, Chest",Battleworn,,,,,,"""**Instant** - {t} a cog you control, destroy this: Gain {r}.",,,,,,,69,0,0,69,0,,,,,,1.6660106666666663,1.6660106666666663,1.7493112000000002,0.10929225875776008,0.18598382749326145,0.0,0.0,0.0,0.0,0.3787498990055161,0.6448598130841121,0.0,0.0,0.09468747475137902
Unicycle,common,SEA010,https://prod-content.fabrary.io/cards/SEA010.webp,Hp8cr9fLGCnpNCfrgKFJN,,,,1,,,,"Mechanologist, Equipment, Legs",Battleworn,,,,,,"""**Instant** - Destroy this: {u} a cog you control.",,,,,,,78,0,0,78,0,,,,,,1.6660106666666663,1.6660106666666663,1.7493112000000002,0.12354777076964184,0.21024258760107817,0.0,0.0,0.0,0.0,0.428152059745366,0.7289719626168224,0.0,0.0,0.1070380149363415
Cogwerx Dovetail (red),mythic,SEA011,https://prod-content.fabrary.io/cards/SEA011.webp,dnhGwzTLMbDMGLfrBgnzz,1,1,5,3,,,,"Mechanologist, Action, Attack",Go again,Thrice per Turn Instant,,,,,"""When this hits a hero, {u} all cogs you control.",,,,,,,11,0,0,11,0,0.025496930916869495,0.0,0.0,0.0884052464500802,0.0,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.16665817413147058,0.029649595687331536,0.0,0.0,0.0,0.0,0.5764981025132928,0.102803738317757,0.0,0.0,0.1441245256283232
Palantir Aeronought (red),mythic,SEA012,https://prod-content.fabrary.io/cards/SEA012.webp,c9TrL6MwcrMKtmTbCHL76,1,2,6,3,,,,"Mechanologist, Action, Attack",,Thrice per Turn Instant,,,,,"""The defending hero must defend this with an equipment they control if able.",,,,,,,6,0,0,6,0,0.013600344621432302,0.0,0.0,0.04715633508926527,0.0,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.09090445861716577,0.016172506738544475,0.0,0.0,0.0,0.0,0.3144535104617961,0.056074766355140186,0.0,0.0,0.07861337761544902
Cog in the Machine (red),mythic,SEA013,https://prod-content.fabrary.io/cards/SEA013.webp,jqrFDnJPwhw6bcQCcrLQT,1,1,,3,,,,"Mechanologist, Action",,,,,,,"""Create 2 Golden Cog tokens.",,,,,,,6,0,0,6,0,0.01476273230245425,0.0,0.0,0.05118666994589277,0.0,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.09090445861716577,0.016172506738544475,0.0,0.0,0.0,0.0,0.3144535104617961,0.056074766355140186,0.0,0.0,0.07861337761544902
Cogwerx Workshop (blue),mythic,SEA014,https://prod-content.fabrary.io/cards/SEA014.webp,NtGRcJrNgDN6LcQtcN7Qb,3,1,,3,,,,"Mechanologist, Action",,,,,,,"""Create a Golden Cog token.",,,,,,,4,0,0,4,0,0.009858225660112453,0.0,0.0,0.03418132448506281,0.0,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.06060297241144385,0.01078167115902965,0.0,0.0,0.0,0.0,0.2096356736411974,0.037383177570093455,0.0,0.0,0.05240891841029935
Cloud City Steamboat (red),rare,SEA015,https://prod-content.fabrary.io/cards/SEA015.webp,rPqkgWJCRBcDzDGPgMzBj,1,2,6,3,,,,"Mechanologist, Action, Attack",,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, put a steam counter on a cog you control.",,,,,,,36,0,0,36,0,0.08380202269117523,0.0,0.0,0.2905658917609908,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.1250847329388501,0.09703504043126684,0.0,0.0,0.0,0.0,0.43333533928199713,0.3364485981308411,0.0,0.0,0.10833383482049928
Cloud City Steamboat (yellow),rare,SEA016,https://prod-content.fabrary.io/cards/SEA016.webp,kTKcmGwRgtjQcGFRRG6fT,2,2,5,3,,,,"Mechanologist, Action, Attack",,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, put a steam counter on a cog you control.",,,,,,,33,0,0,33,0,0.07561309398875571,0.0,0.0,0.2621725034563399,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.11466100519394594,0.0889487870619946,0.0,0.0,0.0,0.0,0.3972240610084974,0.308411214953271,0.0,0.0,0.09930601525212435
