Name,rarity,collector_number,type,image_url,Unique ID,Name,Pitch,Cost,Power,Defense,Health,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,,all_cards,assassin_cards,illusionist_cards,ninja_cards
Heirloom of Snake Hide,rare,MST005,"Mystic, Assassin, Equipment, Chest",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST005.png,wqzWn8rMcWhGwNQfKtWtG,Heirloom of Snake Hide,,,,2,,,"Mystic, Assassin, Equipment, Chest","Cloaked, Battleworn",,,,,,"**Cloaked**  While this is equipped face-down, at the start of your turn, if you have exactly 1{h}, you may turn this face-up.  **Battleworn**",Mystic Assassin Equipment - Chest,,,,,,43,43,0,0
Arousing Wave,common,MST006,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST006.png,z6hzjr7zdqfrh8nQMf6CH,Arousing Wave,,,,1,,,"Mystic, Assassin, Equipment, Arms",Battleworn,Attack Reaction,,,,,"**Attack Reaction** - {r}, destroy this: Create a Fang Strike in your hand.  **Battleworn**",Mystic Assassin Equipment - Arms,,,,,,91,91,0,0
Undertow Stilettos,common,MST007,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST007.png,7FKzc7kNTqjg78RNqwM77,Undertow Stilettos,,,,1,,,"Mystic, Assassin, Equipment, Legs",Battleworn,Attack Reaction,,,,,"**Attack Reaction** - {r}, destroy this: Create a Slither in your hand.  **Battleworn**",Mystic Assassin Equipment - Legs,,,,,,83,83,0,0
Gorgon's Gaze (yellow),mythic,MST008,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST008.png,tFjCKTzpnNCbMGwgtMjFn,Gorgon's Gaze,2,2,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Create a Slither in your hand.  Banish all defending attack action cards on the combat chain. If a Chi was pitched to play this, you may play the banished cards this combat chain without paying their {r} cost.",Mystic Assassin Attack Reaction,,,,No,,7,7,0,0
Siren's Call (red),mythic,MST009,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST009.png,bczQzLRqRKQpkCBHmTCHf,Siren's Call,1,1,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Look at the defending hero's hand and choose a blue card. Add it to this chain link as a defending card. If you do, draw a card.",Mystic Assassin Attack Reaction,,,,No,,7,7,0,0
Sacred Art: Undercurrent Desires (blue),mythic,MST010,"Mystic, Assassin, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST010.png,c8CdW9QBrMJPh6nwJGJ6Q,Sacred Art: Undercurrent Desires,3,3,,,,,"Mystic, Assassin, Instant","Legendary, Transcend",,,,,,"**Legendary**  If you've played another blue card this turn, choose 3. Otherwise, choose 1; - Create a Fang Strike and Slither in your hand. - Banish up to 2 cards in an opposing hero's graveyard. - **Transcend**",Mystic Assassin Instant,,,,No,,16,16,0,0
Tide Chakra (red),rare,MST011,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST011.png,ftdRwjTPb9PNhfpfMMkzC,Tide Chakra,1,1,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,Transcend,"Target Assassin or Mystic attack action card gets +3{p}. If you've **transcended** this turn, instead it gets +5{p}.",Mystic Assassin Attack Reaction,,,,No,,38,38,0,0
Tide Chakra (yellow),rare,MST012,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST012.png,M78m9cmqphb7hgLRWJmT9,Tide Chakra,2,1,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,Transcend,"Target Assassin or Mystic attack action card gets +2{p}. If you've **transcended** this turn, instead it gets +4{p}.",Mystic Assassin Attack Reaction,,,,No,,21,21,0,0
Tide Chakra (blue),rare,MST013,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST013.png,rtWWzqfqCGrRG9LHzKmgD,Tide Chakra,3,1,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,Transcend,"Target Assassin or Mystic attack action card gets +1{p}. If you've **transcended** this turn, instead it gets +3{p}.",Mystic Assassin Attack Reaction,,,,No,,36,36,0,0
Hiss (red),common,MST014,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST014.png,nhqPkqkWqbcjBCWG6RrFq,Hiss,1,1,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Target Assassin or Mystic attack action card gets +3{p}.  If you've pitched a blue card this turn, create a Slither in your hand.",Mystic Assassin Attack Reaction,,,,,,166,166,0,0
